,[soyisim]
0,KIR
1,KORKUT
2,KABAKUŞ
3,AVCIOĞLU
4,SEVÜK
5,ÖZ
6,ATEŞ BUDAK
7,KILBACAK
8,BABUŞ
9,GÜLBAHAR
10,KEÇECİ
11,DEDEMOĞLU
12,KARAASLAN
13,NACAROĞLU
14,MERCAN
15,BÜBER
16,ÖZLÜ
17,YAVUZ
18,SERVET
19,AKIŞ
20,BAYRAMOĞLU
21,ŞAİR
22,BAĞLI
23,KARADUMAN
24,CANTAY
25,TOKMAK
26,ARPAT
27,KARAGÖZ
28,TOPALKARA
29,TAŞKIN
30,TURĞUT
31,YAPRAK
32,İÇBAY
33,ÇİMEN
34,YARADILMIŞ
35,AKCAN PAKSOY
36,KEVKİR
37,KULAÇ
38,SAATÇIOĞLU
39,TEZEL
40,GENEZ
41,YENİDOĞAN
42,ÖZEN
43,BÜRKÜK
44,SERT
45,KOÇER
46,YACI
47,YALNIZ
48,KARA
49,GÜNGÖR
50,BEYOĞLU
51,TANİŞ
52,GÜMÜRDÜ
53,AVLANIR
54,ADALI
55,KARPUZOĞLU
56,SOMAY
57,VATANSEVER
58,SERİN
59,KARAİSMAİLOĞLU
60,OKUDAN
61,IŞIK
62,SOYTAŞ
63,KILAÇ
64,DAYANGAÇ
65,KÜÇÜKYILDIZ
66,AKTÜRK
67,KASKALAN
68,KUŞAKÇI
69,SEVER
70,TOYRAN
71,SEMERCİ
72,TOPAL
73,GENÇ TALAS
74,BOBUŞOĞLU
75,KOÇ
76,TATAR
77,ASOĞLU
78,ÖZAN SANHAL
79,TATLI
80,USLUSOY
81,KAHREMAN
82,EŞKAZAN
83,BAKLACI
84,DOĞANGÜZEL
85,AYKOL
86,ÖZSAYIM
87,ALUÇLU
88,ÖZİŞ
89,GENÇPINAR
90,ZİLELİGİL
91,TEPE
92,KOCABAŞ
93,TOPKARA
94,YETKİNŞEKERCİ
95,AKDUMAN
96,ÖZER ÇELİK
97,YILMABAŞAR
98,YERAL
99,ARGA
100,AKÇAYIR
101,DEĞİRMENCİ
102,AYDEMİR
103,TEMLİ
104,ÇAKIR
105,ÇELİKTEN
106,EVREN
107,DİLEK
108,AYKUŞ
109,GERİLMEZ
110,KARADAVUT
111,GÜLEN
112,GERGER
113,KARTAL
114,UZUNCA
115,BALTACI
116,TOZLU
117,KOÇYİĞİT
118,ÇİFT
119,BALSAK
120,AKANSEL
121,ASLAN
122,GÖKÇE
123,CEYLAN
124,ULUSOY
125,AYDOĞAN
126,CANBAZ
127,DEMİRCAN
128,YENİAY
129,BERENT
130,GÖRÜNMEZ
131,ŞEN TANRIKULU
132,KARAKUŞ EPÇAÇAN
133,NİMETİGİL
134,AKAN
135,POTA
136,DEMİRKAPI
137,GÜVENÇ
138,KAN
139,BİLAL
140,ÖVEN USTAALİOĞLU
141,ÇİNPOLAT
142,YORGANCI
143,ÇÖREKLİ
144,YAMAN
145,ULUBA
146,TAŞTEKİN
147,ATASOY
148,ONAR ŞEKERCİ
149,TAVŞAN
150,TIRAŞ
151,KAYRA
152,SİL
153,DEMİRTÜRK
154,GÜNDOĞDU
155,KOTTAŞ
156,ÖZKURT
157,VURGAN
158,KARAOĞLANOĞLU
159,ATBİNİCİ
160,YENİGÜN
161,BOLAÇ
162,EVİK
163,ŞEN
164,TARLAN
165,BÜYÜKKALAYCI
166,İSEN
167,UYANIK
168,ŞİMŞEK
169,SAĞ
170,SAĞIR
171,TUĞCUGİL
172,GÖKMEYDAN
173,ÖZTÜRK
174,KENDİRLİ
175,KUMRAL
176,KARAKULAK
177,ÇEVİK
178,DİRİCAN
179,CERİT
180,GÖKALP
181,ERGE
182,TOKATLIOĞLU
183,OKTAY
184,UYĞUN
185,BELGEMEN
186,GÜLENAY SÜMER
187,PARLAK
188,BATÇIK
189,TOKAT
190,YERLİKAYA
191,ÇİFTCİ
192,ZEYLİ
193,OFLAZ
194,BULUT
195,TANRİVERDİ
196,YÜKSELMİŞ
197,YÜCEL
198,GENEL
199,ÖNCEL
200,KÜÇÜKÖZKAN
201,BACAK
202,KARAKOYUN
203,GÜNGÖRMEZ
204,OLGAÇ
205,HÜSEYNİ
206,TAŞAR
207,KÖYCÜ
208,GÜNEŞ
209,ZEYBEK
210,AKBAŞ
211,HÜSEYİNOĞLU
212,ALPAYCI
213,BÜYÜKBULUT
214,GÜLEN AKKÜÇÜK
215,KARCIOĞLU
216,MÜFTÜOĞLU
217,KÜÇÜKCERAN
218,BAL
219,YILMAZ İNAL
220,BİLGİN
221,PAKÖZ
222,AKEL
223,ÇETİNKOR
224,GAZİ
225,SULTANOĞLU
226,ÖZCANOĞLU
227,KOPAN
228,SARICA DAROL
229,ALDİNÇ
230,UÇAR
231,EYÜP
232,ARSLAN KAŞDOĞAN
233,UYAR
234,SADIÇ
235,TEHLİ
236,BOZKURTER
237,AYDIN
238,NASIROĞLU
239,GÜREL
240,KOL
241,YAZICI
242,AKBAŞ ÖNCEL
243,ÖZAVCI AYGÜN
244,İNCİ KENAR
245,ATAK
246,SÖKER
247,KİŞİ
248,KATRAN
249,ULUTAŞ
250,ARACI
251,NADASTEPE
252,ALTINBOĞA
253,BÖLÜKBAŞ
254,SAĞLAM
255,BEREKATOĞLU
256,MEMETOĞLU
257,TOPER
258,TEMEL
259,AYDINER
260,ÖNER
261,ATAR
262,YAMAK
263,ALĞAN
264,GÜRBÜZ
265,DÜGER
266,ÇİPE
267,YAĞCI
268,SUCAK
269,BAK
270,PIRTI
271,USLU
272,AKSAKAL
273,ÜNVER
274,BERBER
275,SAK
276,AKDEMİR
277,DEDE
278,YEŞİL
279,AYCAN
280,KARACA
281,HAVAS
282,YILMAZ GELEBEK
283,KEMİK
284,ÖZBEYLER
285,YENİN
286,BAŞDAŞ
287,KAYLAN
288,ERGÜLÜ EŞMEN
289,OKÇU
290,SÖZER
291,NOZOĞLU
292,DÜNDAR
293,MART
294,ÇEVİKER
295,ARKAN
296,KULA
297,ÖZTÜRKERİ
298,ATÇEKEN
299,KALIPCI
300,BAŞCI
301,DORUK
302,KURU
303,ASIG
304,ÇETİN
305,DÖNMEZ
306,BUĞRUL
307,ÇELİK
308,YUMURTAŞ
309,SINICI
310,HİÇDURMAZ
311,KAYAOĞLU
312,BAYRAKTAROĞLU
313,EMELİ
314,ATİK
315,ŞAHİN
316,MURT
317,KONURALP
318,ŞEN GÖKÇEİMAM
319,ÜREYEN
320,ÖZDİL
321,BAYRAKTAR
322,BAĞCIK
323,OKULU
324,AZAK
325,İNANMAZ
326,ÇINAR
327,İŞGÖREN
328,YILMAZ ÇİFTDOĞAN
329,BATGİ AZARKAN
330,ÖZALP
331,KIRAÇ
332,EVCİ
333,GENÇ
334,KARAKURT
335,BAKAN
336,DÜZKALIR
337,SÜVERAN
338,ZAİM
339,BAHADIR
340,BİLİCİ
341,AKSOY
342,ÖNAL MUSALAR
343,TURANOĞLU
344,KILAVUZ
345,ARİFOĞLU
346,HODJAOGLU
347,ENGİZ
348,BAYRAM
349,ILGIN
350,GÜLER
351,YENİÇERİ
352,MERTOL
353,MAĞATUR
354,SERTKAYA
355,TALAS
356,ÜNGÜR
357,AKSAÇ
358,KARACAN ERŞEKERCİ
359,ADANIR
360,TİKİCİ
361,ŞAHAN
362,ÖZGÜR
363,ALP
364,ÖZKIRIŞ
365,KARADAĞ
366,LEYMUNÇİÇEĞİ
367,DİVARCI
368,BAŞKAN VURALKAN
369,PAZIR
370,BAŞAK
371,ÖZKANLI
372,YAZAK
373,KALYENCİ
374,ÖLKER
375,ÖZKAN
376,BAYTAN
377,OKUR
378,PARASIZ
379,GAYRETLİ AYDIN
380,KIRIŞ
381,ŞENGÜLEROĞLU
382,ÇİLESİZ
383,KUYUCU
384,YÜZER
385,AKTEMUR
386,BERKAY
387,KARAOĞLU
388,KULAKSIZ
389,KAYACAN
390,NURLU
391,DAYLAK
392,AKIN
393,TAŞKIRAN
394,TUTAR
395,SELVİ
396,TOPALOĞLU
397,PULAT
398,KILIÇOĞLU
399,KEBAPCILAR
400,KAYAALP
401,BÜYÜKKAL
402,DAĞ
403,BAŞARGAN
404,IŞIKALAN
405,KARADEMİR
406,DARAMAN
407,TUNÇAY
408,AVSEREN
409,UZ
410,YURDAM
411,KARPUZ
412,TUNÇ
413,KULAK GEDİK
414,CAMGÖZ
415,ERTAN
416,ÇOBANYILDIZI
417,ÖDEN
418,ERKURAN
419,AHISKALI
420,EKİNCİ
421,TÜRKYILMAZ
422,AZAP
423,ARIKBOĞA
424,MÜEZZİNOĞLU
425,ATABAY
426,SAYGIN
427,TURAN
428,AVŞAR
429,ZORLU KARAYİĞİT
430,GÖZÜGÜL
431,ARICI
432,GÖKSOY
433,BAYHAN
434,TÜRE
435,KIZMAZ
436,TÜRKAY
437,COŞGUN
438,OFLAZOĞLU
439,GÖZCÜ
440,USLUBAŞ
441,ÇÖLBE
442,DEVELİ
443,YETİZ
444,AKÇAY
445,ERCAN
446,KURTPINAR
447,YURTDAŞ
448,HALICI
449,BIÇAKÇI
450,KARLI
451,TACİR
452,KAYABAŞ
453,CELİLOĞLU
454,DALYAN CİLO
455,CERAN
456,HÖKE
457,KAYKISIZ
458,YÖRÜK
459,BÜYÜKPASTIRMACI
460,GÖRKEM
461,KÖŞKER
462,BAŞER
463,BALTA
464,AKBULUT
465,ARAZ SERVER
466,DİNLER
467,ERDEM
468,GÜLDAMLA
469,TAŞ
470,ŞENER
471,ALBOĞA
472,ETLEÇ
473,DEMİRELLİ
474,BERTAN
475,YENİDÜNYA
476,KOCAYİĞİT
477,ÖZKAYA
478,BİRİ
479,TİLBE
480,AHÇI
481,YAVUZ SEZGİN
482,ARIK
483,TEVDİK
484,ALADAĞ
485,BACAKSIZ
486,BADEM
487,TÜLPAR
488,YANCAR
489,ÖZÇAY
490,KAYIHAN
491,ÖZTOPRAK
492,BARDAKÇI
493,ÖZKURT PÜRCÜ
494,SALDIRAY
495,BOLATKALE
496,ÇÖL
497,TÜRKMEN ALBAYRAK
498,ÜNSAL
499,AKSUN
500,SORGUN EVCİLİ
501,SAVĞA
502,TAY
503,KALEM
504,GÜÇLÜ
505,ELİK
506,ABACIOĞLU
507,FİLİZAY
508,ÇİTİL
509,CILIZ BASHEER
510,AKOVA
511,KIZILMEŞE
512,ÖRENÇ
513,ULU
514,YAĞCIZEYBEK
515,BEKAR
516,BOZKUŞ
517,KARATOPRAK
518,TEZER
519,AKKAŞ
520,İBİŞOĞLU
521,EMİRLİOĞLU
522,SABAZ
523,DERE
524,CAF
525,BAŞAR
526,KALKAN
527,GENÇER
528,ALTUNA
529,SAKA
530,YADİGAROĞLU
531,OLPAK
532,CANSEVER
533,KISAOĞLU
534,NAR
535,ŞEYHANLI
536,SÜNER
537,AKBUDAK
538,AKDENİZ
539,YAŞAR
540,TEKİN
541,GÖKGÜL
542,MENEKŞE
543,KASAPOĞLU
544,VAROL
545,MERHAMETSİZ
546,BAŞTEMİR
547,ÇATAK
548,BOĞAN
549,DURMAN
550,KAZBEK
551,ARSLAN
552,DOKUMACIOĞLU
553,ÖZER
554,TAŞLI
555,ALBAY
556,PEHLİVAN
557,OMAY
558,KHALİL
559,SADİ AYKAN
560,AKCAN ATASOY
561,İLKAY
562,EKİCİ
563,TOMBUL
564,ŞİRZAİ
565,EZER
566,KAÇIRA
567,KIVRAK
568,GÜLLÜ
569,KARASU
570,ÇELİKER
571,SEVİNÇ
572,KUNAK
573,ÇAY
574,ALIŞIK
575,SARICANBAZ
576,ŞEKERLER
577,YAKKAN
578,ÖNDE
579,SARAÇOĞLU ÇEKİÇ
580,ÇAVDAR
581,TÜRKOĞLU
582,TANRIVERDİ YILMAZ
583,ASİL
584,ŞARLAK
585,ŞANLIER
586,GEÇMEN
587,GÜLSOY
588,CEBECİ
589,CAMCI
590,YAVAŞİ
591,UĞURLU
592,TAN
593,DAĞLIOĞLU
594,ARI
595,DEMİRKOL
596,AKTAN
597,DİLLİ
598,SAKARYA
599,ALTUNTAŞ
600,SARAÇ
601,YILMAZ
602,GÜNEBAKAN
603,TAYFUR
604,KARKIN
605,CENGİZ
606,TOLA
607,IŞIKLI
608,BAŞTÜRK AYHAN
609,EVRAN
610,GENCAN
611,EVMEZ
612,ÇİÇEKBİLEK
613,BALOĞLU
614,ARSLANKEÇECİOĞLU
615,SUNGAR
616,İNSELÖZ
617,ARMAĞAN
618,MUTLUER
619,BİNNETOĞLU
620,KARAKÖSE
621,KARATAŞ
622,SANHAL
623,BOZOĞLU
624,DANIŞOĞLU
625,TANİN
626,SU DUR
627,KADAK
628,AYTEKİN
629,YETER
630,GÖK
631,KAHYA
632,AK YILDIRIM
633,FEYZULLAHOĞLU
634,ERŞEN
635,BURAK
636,TEKER
637,DEMİRDAĞ
638,GÜVEN MEŞE
639,ÖNAL
640,TEĞİN
641,ERGİNTÜRK ACAR
642,YASA
643,ÖZMEN SÜNER
644,ÇIRAKOĞLU
645,MANAV
646,TANRIKULU
647,AKHUN
648,ALTUN
649,KANSU
650,ASLANKARA
651,CANACANKATAN
652,KARADURAK
653,MOLLA
654,AKTAŞ
655,ÖZAYDIN
656,TEOMAN
657,KEŞKEK
658,BODUROĞLU
659,FAKIOĞLU
660,CİNDEMİR
661,BEKLER
662,METİNEREN
663,ABSEYİ
664,ÖZGÜROL
665,KARAKUM
666,EYİSOY
667,ALTINSOY
668,BAZ
669,ÇEVİRGEN
670,SÖZEN
671,ÇOPUR
672,KUTAN
673,AMİROVA UÇAN
674,KİREÇÇİ
675,PİRDOĞAN
676,KIZILTOPRAK
677,ÖZÜAK
678,AZAR
679,DİNCER
680,ÖZEL
681,ERTEM
682,BAŞYURT
683,YAKAR
684,CANATAN
685,SENEMTAŞI
686,KIZANOĞLU
687,GÜZEL
688,SAĞCAN
689,CANDEMİR
690,AYVAZ
691,GEYİK
692,ÜNÜVAR
693,BARIŞAN
694,ERDAĞ
695,ALKAÇ
696,BAŞYİĞİT
697,ALAY
698,TOPUZ
699,ALBAŞ
700,ALMOFTI
701,TARKAN
702,BUDUNOĞLU
703,DADALI
704,KAPÇAK
705,ONRAT
706,ÖNVERMEZ
707,KESGİN
708,GÜMÜŞ
709,DİLMEN
710,OYNAK
711,HEYBET
712,KANYILMAZ
713,ALIM
714,KARAMAHMUTOĞLU
715,AKYÜZ
716,TAŞMALI
717,BÜYÜK
718,BARÇAK
719,AYMAN
720,GÖNCÜ
721,ERDOĞMUŞ
722,GÜLEŞEN
723,KÜÇÜK
724,SARIÇİÇEK
725,GÖDE
726,ÖCALAN
727,ORAL
728,ÖZHAN
729,TÜRKSOY
730,SÜRMEN AKYOL
731,GEDÜK
732,AŞKIN
733,GÖKKOCA
734,EMET
735,KAVMAZ
736,FİLİZ
737,KARADAŞ
738,DÜZGÜN
739,ÖRNEK
740,SANSARCI
741,ÖZÇELİK ORAL
742,KİRAZ
743,TÖNGE
744,KÜFECİLER
745,DEĞİRMENCİ AKAR
746,KELEŞ
747,KARADENİZ
748,BÜKÜLMEZ
749,KARAALP
750,TUNCER
751,GÜNGÖR UZUNOĞLU
752,APAYDIN
753,KIRAN
754,KÜTÜKOĞLU
755,NALBANT
756,YANARDAĞ
757,ESKİMEZ
758,SİĞA
759,ÖZYÖRÜK
760,BEREKET
761,GEZİCİ
762,ŞENTÜRK
763,KABA
764,SUMAN
765,VURAL
766,GÖRMELİ
767,SERTEL
